,Coal-EA,Coal-NE,Coal-NO,Coal-SO,Coal-WE
154,0.55,0.55,0.55,0.55,0.55
155,0.55,0.55,0.55,0.55,0.55
156,0.55,0.55,0.55,0.55,0.55
157,0.55,0.55,0.55,0.55,0.55
158,0.55,0.55,0.55,0.55,0.55
159,0.55,0.55,0.55,0.55,0.55
160,0.55,0.55,0.55,0.55,0.55
161,0.55,0.55,0.55,0.55,0.55
162,0.55,0.55,0.55,0.55,0.55
163,0.55,0.55,0.55,0.55,0.55
164,0.55,0.55,0.55,0.55,0.55
165,0.55,0.55,0.55,0.55,0.55
166,0.55,0.55,0.55,0.55,0.55
167,0.55,0.55,0.55,0.55,0.55
168,0.55,0.55,0.55,0.55,0.55
169,0.55,0.55,0.55,0.55,0.55
170,0.55,0.55,0.55,0.55,0.55
171,0.55,0.55,0.55,0.55,0.55
172,0.55,0.55,0.55,0.55,0.55
173,0.55,0.55,0.55,0.55,0.55
174,0.55,0.55,0.55,0.55,0.55
175,0.55,0.55,0.55,0.55,0.55
176,0.55,0.55,0.55,0.55,0.55
177,0.55,0.55,0.55,0.55,0.55
178,0.55,0.55,0.55,0.55,0.55
179,0.55,0.55,0.55,0.55,0.55
180,0.55,0.55,0.55,0.55,0.55
181,0.55,0.55,0.55,0.55,0.55
182,0.55,0.55,0.55,0.55,0.55
183,0.55,0.55,0.55,0.55,0.55
184,0.55,0.55,0.55,0.55,0.55
185,0.55,0.55,0.55,0.55,0.55
186,0.55,0.55,0.55,0.55,0.55
187,0.55,0.55,0.55,0.55,0.55
188,0.55,0.55,0.55,0.55,0.55
189,0.55,0.55,0.55,0.55,0.55
190,0.55,0.55,0.55,0.55,0.55
191,0.55,0.55,0.55,0.55,0.55
192,0.55,0.55,0.55,0.55,0.55
193,0.55,0.55,0.55,0.55,0.55
194,0.55,0.55,0.55,0.55,0.55
195,0.55,0.55,0.55,0.55,0.55
196,0.55,0.55,0.55,0.55,0.55
197,0.55,0.55,0.55,0.55,0.55
198,0.55,0.55,0.55,0.55,0.55
199,0.55,0.55,0.55,0.55,0.55
200,0.55,0.55,0.55,0.55,0.55
201,0.55,0.55,0.55,0.55,0.55
202,0.55,0.55,0.55,0.55,0.55
203,0.55,0.55,0.55,0.55,0.55
204,0.55,0.55,0.55,0.55,0.55
205,0.55,0.55,0.55,0.55,0.55
206,0.55,0.55,0.55,0.55,0.55
207,0.55,0.55,0.55,0.55,0.55
208,0.55,0.55,0.55,0.55,0.55
209,0.55,0.55,0.55,0.55,0.55
210,0.55,0.55,0.55,0.55,0.55
211,0.55,0.55,0.55,0.55,0.55
212,0.55,0.55,0.55,0.55,0.55
213,0.55,0.55,0.55,0.55,0.55
214,0.55,0.55,0.55,0.55,0.55
215,0.55,0.55,0.55,0.55,0.55
216,0.55,0.55,0.55,0.55,0.55
217,0.55,0.55,0.55,0.55,0.55
218,0.55,0.55,0.55,0.55,0.55
219,0.55,0.55,0.55,0.55,0.55
220,0.55,0.55,0.55,0.55,0.55
221,0.55,0.55,0.55,0.55,0.55
222,0.55,0.55,0.55,0.55,0.55
223,0.55,0.55,0.55,0.55,0.55
224,0.55,0.55,0.55,0.55,0.55
225,0.55,0.55,0.55,0.55,0.55
226,0.55,0.55,0.55,0.55,0.55
227,0.55,0.55,0.55,0.55,0.55
228,0.55,0.55,0.55,0.55,0.55
229,0.55,0.55,0.55,0.55,0.55
230,0.55,0.55,0.55,0.55,0.55
231,0.55,0.55,0.55,0.55,0.55
232,0.55,0.55,0.55,0.55,0.55
233,0.55,0.55,0.55,0.55,0.55
234,0.55,0.55,0.55,0.55,0.55
235,0.55,0.55,0.55,0.55,0.55
236,0.55,0.55,0.55,0.55,0.55
237,0.55,0.55,0.55,0.55,0.55
238,0.55,0.55,0.55,0.55,0.55
239,0.55,0.55,0.55,0.55,0.55
240,0.55,0.55,0.55,0.55,0.55
241,0.55,0.55,0.55,0.55,0.55
242,0.55,0.55,0.55,0.55,0.55
243,0.55,0.55,0.55,0.55,0.55
244,0.55,0.55,0.55,0.55,0.55
245,0.55,0.55,0.55,0.55,0.55
246,0.55,0.55,0.55,0.55,0.55
247,0.55,0.55,0.55,0.55,0.55
248,0.55,0.55,0.55,0.55,0.55
249,0.55,0.55,0.55,0.55,0.55
250,0.55,0.55,0.55,0.55,0.55
251,0.55,0.55,0.55,0.55,0.55
252,0.55,0.55,0.55,0.55,0.55
253,0.55,0.55,0.55,0.55,0.55
254,0.55,0.55,0.55,0.55,0.55
255,0.55,0.55,0.55,0.55,0.55
256,0.55,0.55,0.55,0.55,0.55
257,0.55,0.55,0.55,0.55,0.55
258,0.55,0.55,0.55,0.55,0.55
259,0.55,0.55,0.55,0.55,0.55
260,0.55,0.55,0.55,0.55,0.55
261,0.55,0.55,0.55,0.55,0.55
262,0.55,0.55,0.55,0.55,0.55
263,0.55,0.55,0.55,0.55,0.55
264,0.55,0.55,0.55,0.55,0.55
265,0.55,0.55,0.55,0.55,0.55
266,0.55,0.55,0.55,0.55,0.55
267,0.55,0.55,0.55,0.55,0.55
268,0.55,0.55,0.55,0.55,0.55
269,0.55,0.55,0.55,0.55,0.55
270,0.55,0.55,0.55,0.55,0.55
271,0.55,0.55,0.55,0.55,0.55
272,0.55,0.55,0.55,0.55,0.55
273,0.55,0.55,0.55,0.55,0.55
274,0.55,0.55,0.55,0.55,0.55
275,0.55,0.55,0.55,0.55,0.55
276,0.55,0.55,0.55,0.55,0.55
277,0.55,0.55,0.55,0.55,0.55
278,0.55,0.55,0.55,0.55,0.55
279,0.55,0.55,0.55,0.55,0.55
280,0.55,0.55,0.55,0.55,0.55
281,0.55,0.55,0.55,0.55,0.55
282,0.55,0.55,0.55,0.55,0.55
283,0.55,0.55,0.55,0.55,0.55
284,0.55,0.55,0.55,0.55,0.55
285,0.55,0.55,0.55,0.55,0.55
286,0.55,0.55,0.55,0.55,0.55
287,0.55,0.55,0.55,0.55,0.55
288,0.55,0.55,0.55,0.55,0.55
289,0.55,0.55,0.55,0.55,0.55
290,0.55,0.55,0.55,0.55,0.55
291,0.55,0.55,0.55,0.55,0.55
292,0.55,0.55,0.55,0.55,0.55
293,0.55,0.55,0.55,0.55,0.55
294,0.55,0.55,0.55,0.55,0.55
295,0.55,0.55,0.55,0.55,0.55
296,0.55,0.55,0.55,0.55,0.55
297,0.55,0.55,0.55,0.55,0.55
298,0.55,0.55,0.55,0.55,0.55
299,0.55,0.55,0.55,0.55,0.55
300,0.55,0.55,0.55,0.55,0.55
301,0.55,0.55,0.55,0.55,0.55
302,0.55,0.55,0.55,0.55,0.55
303,0.55,0.55,0.55,0.55,0.55
304,0.55,0.55,0.55,0.55,0.55
305,0.55,0.55,0.55,0.55,0.55
306,0.55,0.55,0.55,0.55,0.55
307,0.55,0.55,0.55,0.55,0.55
308,0.55,0.55,0.55,0.55,0.55
309,0.55,0.55,0.55,0.55,0.55
310,0.55,0.55,0.55,0.55,0.55
311,0.55,0.55,0.55,0.55,0.55
312,0.55,0.55,0.55,0.55,0.55
313,0.55,0.55,0.55,0.55,0.55
314,0.55,0.55,0.55,0.55,0.55
315,0.55,0.55,0.55,0.55,0.55
316,0.55,0.55,0.55,0.55,0.55
317,0.55,0.55,0.55,0.55,0.55
318,0.55,0.55,0.55,0.55,0.55
319,0.55,0.55,0.55,0.55,0.55
320,0.55,0.55,0.55,0.55,0.55
321,0.55,0.55,0.55,0.55,0.55
322,0.55,0.55,0.55,0.55,0.55
323,0.55,0.55,0.55,0.55,0.55
324,0.55,0.55,0.55,0.55,0.55
325,0.55,0.55,0.55,0.55,0.55
326,0.55,0.55,0.55,0.55,0.55
327,0.55,0.55,0.55,0.55,0.55
328,0.55,0.55,0.55,0.55,0.55
329,0.55,0.55,0.55,0.55,0.55
330,0.55,0.55,0.55,0.55,0.55
331,0.55,0.55,0.55,0.55,0.55
332,0.55,0.55,0.55,0.55,0.55
333,0.55,0.55,0.55,0.55,0.55
334,0.55,0.55,0.55,0.55,0.55
335,0.55,0.55,0.55,0.55,0.55
336,0.55,0.55,0.55,0.55,0.55
337,0.55,0.55,0.55,0.55,0.55
338,0.55,0.55,0.55,0.55,0.55
339,0.55,0.55,0.55,0.55,0.55
340,0.55,0.55,0.55,0.55,0.55
341,0.55,0.55,0.55,0.55,0.55
342,0.55,0.55,0.55,0.55,0.55
343,0.55,0.55,0.55,0.55,0.55
344,0.55,0.55,0.55,0.55,0.55
345,0.55,0.55,0.55,0.55,0.55
346,0.55,0.55,0.55,0.55,0.55
347,0.55,0.55,0.55,0.55,0.55
348,0.55,0.55,0.55,0.55,0.55
349,0.55,0.55,0.55,0.55,0.55
350,0.55,0.55,0.55,0.55,0.55
351,0.55,0.55,0.55,0.55,0.55
352,0.55,0.55,0.55,0.55,0.55
353,0.55,0.55,0.55,0.55,0.55
354,0.55,0.55,0.55,0.55,0.55
355,0.55,0.55,0.55,0.55,0.55
356,0.55,0.55,0.55,0.55,0.55
357,0.55,0.55,0.55,0.55,0.55
358,0.55,0.55,0.55,0.55,0.55
359,0.55,0.55,0.55,0.55,0.55
360,0.55,0.55,0.55,0.55,0.55
361,0.55,0.55,0.55,0.55,0.55
362,0.55,0.55,0.55,0.55,0.55
363,0.55,0.55,0.55,0.55,0.55
364,0.55,0.55,0.55,0.55,0.55
365,0.55,0.55,0.55,0.55,0.55
366,0.55,0.55,0.55,0.55,0.55
367,0.55,0.55,0.55,0.55,0.55
368,0.55,0.55,0.55,0.55,0.55
369,0.55,0.55,0.55,0.55,0.55
370,0.55,0.55,0.55,0.55,0.55
371,0.55,0.55,0.55,0.55,0.55
372,0.55,0.55,0.55,0.55,0.55
373,0.55,0.55,0.55,0.55,0.55
374,0.55,0.55,0.55,0.55,0.55
375,0.55,0.55,0.55,0.55,0.55
376,0.55,0.55,0.55,0.55,0.55
377,0.55,0.55,0.55,0.55,0.55
378,0.55,0.55,0.55,0.55,0.55
379,0.55,0.55,0.55,0.55,0.55
380,0.55,0.55,0.55,0.55,0.55
381,0.55,0.55,0.55,0.55,0.55
382,0.55,0.55,0.55,0.55,0.55
383,0.55,0.55,0.55,0.55,0.55
384,0.55,0.55,0.55,0.55,0.55
385,0.55,0.55,0.55,0.55,0.55
386,0.55,0.55,0.55,0.55,0.55
387,0.55,0.55,0.55,0.55,0.55
388,0.55,0.55,0.55,0.55,0.55
389,0.55,0.55,0.55,0.55,0.55
390,0.55,0.55,0.55,0.55,0.55
391,0.55,0.55,0.55,0.55,0.55
392,0.55,0.55,0.55,0.55,0.55
393,0.55,0.55,0.55,0.55,0.55
394,0.55,0.55,0.55,0.55,0.55
395,0.55,0.55,0.55,0.55,0.55
396,0.55,0.55,0.55,0.55,0.55
397,0.55,0.55,0.55,0.55,0.55
398,0.55,0.55,0.55,0.55,0.55
399,0.55,0.55,0.55,0.55,0.55
400,0.55,0.55,0.55,0.55,0.55
401,0.55,0.55,0.55,0.55,0.55
402,0.55,0.55,0.55,0.55,0.55
403,0.55,0.55,0.55,0.55,0.55
404,0.55,0.55,0.55,0.55,0.55
405,0.55,0.55,0.55,0.55,0.55
406,0.55,0.55,0.55,0.55,0.55
407,0.55,0.55,0.55,0.55,0.55
408,0.55,0.55,0.55,0.55,0.55
409,0.55,0.55,0.55,0.55,0.55
410,0.55,0.55,0.55,0.55,0.55
411,0.55,0.55,0.55,0.55,0.55
412,0.55,0.55,0.55,0.55,0.55
413,0.55,0.55,0.55,0.55,0.55
414,0.55,0.55,0.55,0.55,0.55
415,0.55,0.55,0.55,0.55,0.55
416,0.55,0.55,0.55,0.55,0.55
417,0.55,0.55,0.55,0.55,0.55
418,0.55,0.55,0.55,0.55,0.55
419,0.55,0.55,0.55,0.55,0.55
420,0.55,0.55,0.55,0.55,0.55
421,0.55,0.55,0.55,0.55,0.55
422,0.55,0.55,0.55,0.55,0.55
423,0.55,0.55,0.55,0.55,0.55
424,0.55,0.55,0.55,0.55,0.55
425,0.55,0.55,0.55,0.55,0.55
426,0.55,0.55,0.55,0.55,0.55
427,0.55,0.55,0.55,0.55,0.55
428,0.55,0.55,0.55,0.55,0.55
429,0.55,0.55,0.55,0.55,0.55
430,0.55,0.55,0.55,0.55,0.55
431,0.55,0.55,0.55,0.55,0.55
432,0.55,0.55,0.55,0.55,0.55
433,0.55,0.55,0.55,0.55,0.55
434,0.55,0.55,0.55,0.55,0.55
435,0.55,0.55,0.55,0.55,0.55
436,0.55,0.55,0.55,0.55,0.55
437,0.55,0.55,0.55,0.55,0.55
438,0.55,0.55,0.55,0.55,0.55
439,0.55,0.55,0.55,0.55,0.55
440,0.55,0.55,0.55,0.55,0.55
441,0.55,0.55,0.55,0.55,0.55
442,0.55,0.55,0.55,0.55,0.55
443,0.55,0.55,0.55,0.55,0.55
444,0.55,0.55,0.55,0.55,0.55
445,0.55,0.55,0.55,0.55,0.55
446,0.55,0.55,0.55,0.55,0.55
447,0.55,0.55,0.55,0.55,0.55
448,0.55,0.55,0.55,0.55,0.55
449,0.55,0.55,0.55,0.55,0.55
450,0.55,0.55,0.55,0.55,0.55
451,0.55,0.55,0.55,0.55,0.55
452,0.55,0.55,0.55,0.55,0.55
453,0.55,0.55,0.55,0.55,0.55
454,0.55,0.55,0.55,0.55,0.55
455,0.55,0.55,0.55,0.55,0.55
456,0.55,0.55,0.55,0.55,0.55
457,0.55,0.55,0.55,0.55,0.55
458,0.55,0.55,0.55,0.55,0.55
459,0.55,0.55,0.55,0.55,0.55
460,0.55,0.55,0.55,0.55,0.55
461,0.55,0.55,0.55,0.55,0.55
462,0.55,0.55,0.55,0.55,0.55
463,0.55,0.55,0.55,0.55,0.55
464,0.55,0.55,0.55,0.55,0.55
465,0.55,0.55,0.55,0.55,0.55
466,0.55,0.55,0.55,0.55,0.55
467,0.55,0.55,0.55,0.55,0.55
468,0.55,0.55,0.55,0.55,0.55
469,0.55,0.55,0.55,0.55,0.55
470,0.55,0.55,0.55,0.55,0.55
471,0.55,0.55,0.55,0.55,0.55
472,0.55,0.55,0.55,0.55,0.55
473,0.55,0.55,0.55,0.55,0.55
474,0.55,0.55,0.55,0.55,0.55
475,0.55,0.55,0.55,0.55,0.55
476,0.55,0.55,0.55,0.55,0.55
477,0.55,0.55,0.55,0.55,0.55
478,0.55,0.55,0.55,0.55,0.55
479,0.55,0.55,0.55,0.55,0.55
480,0.55,0.55,0.55,0.55,0.55
481,0.55,0.55,0.55,0.55,0.55
482,0.55,0.55,0.55,0.55,0.55
483,0.55,0.55,0.55,0.55,0.55
484,0.55,0.55,0.55,0.55,0.55
485,0.55,0.55,0.55,0.55,0.55
486,0.55,0.55,0.55,0.55,0.55
487,0.55,0.55,0.55,0.55,0.55
488,0.55,0.55,0.55,0.55,0.55
489,0.55,0.55,0.55,0.55,0.55
490,0.55,0.55,0.55,0.55,0.55
491,0.55,0.55,0.55,0.55,0.55
492,0.55,0.55,0.55,0.55,0.55
493,0.55,0.55,0.55,0.55,0.55
494,0.55,0.55,0.55,0.55,0.55
495,0.55,0.55,0.55,0.55,0.55
496,0.55,0.55,0.55,0.55,0.55
497,0.55,0.55,0.55,0.55,0.55
498,0.55,0.55,0.55,0.55,0.55
499,0.55,0.55,0.55,0.55,0.55
500,0.55,0.55,0.55,0.55,0.55
501,0.55,0.55,0.55,0.55,0.55
502,0.55,0.55,0.55,0.55,0.55
503,0.55,0.55,0.55,0.55,0.55
504,0.55,0.55,0.55,0.55,0.55
505,0.55,0.55,0.55,0.55,0.55
506,0.55,0.55,0.55,0.55,0.55
507,0.55,0.55,0.55,0.55,0.55
508,0.55,0.55,0.55,0.55,0.55
509,0.55,0.55,0.55,0.55,0.55
510,0.55,0.55,0.55,0.55,0.55
511,0.55,0.55,0.55,0.55,0.55
512,0.55,0.55,0.55,0.55,0.55
513,0.55,0.55,0.55,0.55,0.55
514,0.55,0.55,0.55,0.55,0.55
515,0.55,0.55,0.55,0.55,0.55
516,0.55,0.55,0.55,0.55,0.55
517,0.55,0.55,0.55,0.55,0.55
518,0.55,0.55,0.55,0.55,0.55
519,0.55,0.55,0.55,0.55,0.55
520,0.55,0.55,0.55,0.55,0.55
521,0.55,0.55,0.55,0.55,0.55
522,0.55,0.55,0.55,0.55,0.55
523,0.55,0.55,0.55,0.55,0.55
524,0.55,0.55,0.55,0.55,0.55
525,0.55,0.55,0.55,0.55,0.55
526,0.55,0.55,0.55,0.55,0.55
527,0.55,0.55,0.55,0.55,0.55
528,0.55,0.55,0.55,0.55,0.55
529,0.55,0.55,0.55,0.55,0.55
530,0.55,0.55,0.55,0.55,0.55
531,0.55,0.55,0.55,0.55,0.55
532,0.55,0.55,0.55,0.55,0.55
533,0.55,0.55,0.55,0.55,0.55
534,0.55,0.55,0.55,0.55,0.55
535,0.55,0.55,0.55,0.55,0.55
536,0.55,0.55,0.55,0.55,0.55
537,0.55,0.55,0.55,0.55,0.55
538,0.55,0.55,0.55,0.55,0.55
539,0.55,0.55,0.55,0.55,0.55
540,0.55,0.55,0.55,0.55,0.55
541,0.55,0.55,0.55,0.55,0.55
542,0.55,0.55,0.55,0.55,0.55
543,0.55,0.55,0.55,0.55,0.55
544,0.55,0.55,0.55,0.55,0.55
545,0.55,0.55,0.55,0.55,0.55
546,0.55,0.55,0.55,0.55,0.55
547,0.55,0.55,0.55,0.55,0.55
548,0.55,0.55,0.55,0.55,0.55
549,0.55,0.55,0.55,0.55,0.55
550,0.55,0.55,0.55,0.55,0.55
551,0.55,0.55,0.55,0.55,0.55
552,0.55,0.55,0.55,0.55,0.55
553,0.55,0.55,0.55,0.55,0.55
554,0.55,0.55,0.55,0.55,0.55
555,0.55,0.55,0.55,0.55,0.55
556,0.55,0.55,0.55,0.55,0.55
557,0.55,0.55,0.55,0.55,0.55
558,0.55,0.55,0.55,0.55,0.55
559,0.55,0.55,0.55,0.55,0.55
560,0.55,0.55,0.55,0.55,0.55
561,0.55,0.55,0.55,0.55,0.55
562,0.55,0.55,0.55,0.55,0.55
563,0.55,0.55,0.55,0.55,0.55
564,0.55,0.55,0.55,0.55,0.55
565,0.55,0.55,0.55,0.55,0.55
566,0.55,0.55,0.55,0.55,0.55
567,0.55,0.55,0.55,0.55,0.55
568,0.55,0.55,0.55,0.55,0.55
569,0.55,0.55,0.55,0.55,0.55
570,0.55,0.55,0.55,0.55,0.55
571,0.55,0.55,0.55,0.55,0.55
572,0.55,0.55,0.55,0.55,0.55
573,0.55,0.55,0.55,0.55,0.55
574,0.55,0.55,0.55,0.55,0.55
575,0.55,0.55,0.55,0.55,0.55
576,0.55,0.55,0.55,0.55,0.55
577,0.55,0.55,0.55,0.55,0.55
578,0.55,0.55,0.55,0.55,0.55
579,0.55,0.55,0.55,0.55,0.55
580,0.55,0.55,0.55,0.55,0.55
581,0.55,0.55,0.55,0.55,0.55
582,0.55,0.55,0.55,0.55,0.55
583,0.55,0.55,0.55,0.55,0.55
584,0.55,0.55,0.55,0.55,0.55
585,0.55,0.55,0.55,0.55,0.55
586,0.55,0.55,0.55,0.55,0.55
587,0.55,0.55,0.55,0.55,0.55
588,0.55,0.55,0.55,0.55,0.55
589,0.55,0.55,0.55,0.55,0.55
590,0.55,0.55,0.55,0.55,0.55
591,0.55,0.55,0.55,0.55,0.55
592,0.55,0.55,0.55,0.55,0.55
593,0.55,0.55,0.55,0.55,0.55
594,0.55,0.55,0.55,0.55,0.55
595,0.55,0.55,0.55,0.55,0.55
596,0.55,0.55,0.55,0.55,0.55
597,0.55,0.55,0.55,0.55,0.55
598,0.55,0.55,0.55,0.55,0.55
599,0.55,0.55,0.55,0.55,0.55
600,0.55,0.55,0.55,0.55,0.55
601,0.55,0.55,0.55,0.55,0.55
602,0.55,0.55,0.55,0.55,0.55
603,0.55,0.55,0.55,0.55,0.55
604,0.55,0.55,0.55,0.55,0.55
605,0.55,0.55,0.55,0.55,0.55
606,0.55,0.55,0.55,0.55,0.55
607,0.55,0.55,0.55,0.55,0.55
608,0.55,0.55,0.55,0.55,0.55
609,0.55,0.55,0.55,0.55,0.55
610,0.55,0.55,0.55,0.55,0.55
611,0.55,0.55,0.55,0.55,0.55
612,0.55,0.55,0.55,0.55,0.55
613,0.55,0.55,0.55,0.55,0.55
614,0.55,0.55,0.55,0.55,0.55
615,0.55,0.55,0.55,0.55,0.55
616,0.55,0.55,0.55,0.55,0.55
617,0.55,0.55,0.55,0.55,0.55
618,0.55,0.55,0.55,0.55,0.55
619,0.55,0.55,0.55,0.55,0.55
620,0.55,0.55,0.55,0.55,0.55
621,0.55,0.55,0.55,0.55,0.55
622,0.55,0.55,0.55,0.55,0.55
623,0.55,0.55,0.55,0.55,0.55
624,0.55,0.55,0.55,0.55,0.55
625,0.55,0.55,0.55,0.55,0.55
626,0.55,0.55,0.55,0.55,0.55
627,0.55,0.55,0.55,0.55,0.55
628,0.55,0.55,0.55,0.55,0.55
629,0.55,0.55,0.55,0.55,0.55
630,0.55,0.55,0.55,0.55,0.55
631,0.55,0.55,0.55,0.55,0.55
632,0.55,0.55,0.55,0.55,0.55
